tag,target,model,n_features,base_rate,roc_auc,roc_auc_ci,precision_at_500,precision_at_500_ci,pr_auc,train_rows
lender_asof21_det,voluntary_exit,logistic,54,0.0772758945822715,0.7705098627857975,"[0.7694, 0.7717]",0.2960000038146972,"[0.242, 0.336]",0.3101717160631288,3779912
lender_asof21_det,voluntary_exit,mlp,54,0.0772758945822715,0.7784154047137031,"[0.7773, 0.7796]",0.7559999823570251,"[0.722, 0.794]",0.338474856255515,3779912
lender_asof21_det,growth,lightgbm,54,0.0213706418871879,0.7619946326620627,"[0.7601, 0.7637]",0.209999993443489,"[0.174, 0.244]",0.0577724100501719,610789
lender_asof21_det,growth,logistic,54,0.0213706418871879,0.7385847800619267,"[0.7366, 0.7406]",0.1700000017881393,"[0.138, 0.202]",0.0483337958370971,610789
lender_asof21_det,growth,mlp,54,0.0213706418871879,0.7006689416463637,"[0.6983, 0.7030]",0.0820000022649765,"[0.062, 0.108]",0.0413014752664678,610789
lender_calib,lending,lightgbm,54,0.0027111421804875,0.8810030209806186,"[0.8767, 0.8852]",0.3319999873638153,"[0.290, 0.378]",0.0611592047122416,214708
lender_calib,lending,logistic,54,0.0027111421804875,0.8668093994690536,"[0.8622, 0.8714]",0.1800000071525573,"[0.146, 0.216]",0.0447434665365719,214708
lender_calib,lending,mlp,54,0.0027111421804875,0.8728645925476078,"[0.8684, 0.8773]",0.2380000054836273,"[0.200, 0.276]",0.0528512457609705,214708
lender_calib,insolvency,lightgbm,54,0.0032939848024398,0.7632470595803762,"[0.7588, 0.7676]",0.1420000046491623,"[0.110, 0.172]",0.0178464126899273,165674
lender_calib,insolvency,logistic,54,0.0032939848024398,0.7346323585131371,"[0.7301, 0.7389]",0.0719999969005584,"[0.050, 0.096]",0.0128303254688101,165674
lender_calib,insolvency,mlp,54,0.0032939848024398,0.7410731749044962,"[0.7370, 0.7455]",0.0780000016093254,"[0.056, 0.102]",0.0124126734626805,165674
lender_calib,voluntary_exit,lightgbm,54,0.0772758945822715,0.7928462567535819,"[0.7917, 0.7939]",0.8640000224113464,"[0.830, 0.892]",0.3509524206610114,3779912
lender_calib,voluntary_exit,logistic,54,0.0772758945822715,0.7702021811142956,"[0.7691, 0.7714]",0.2939999997615814,"[0.252, 0.342]",0.309932753272558,3779912
lender_calib,voluntary_exit,mlp,54,0.0772758945822715,0.7725160126329599,"[0.7714, 0.7736]",0.5379999876022339,"[0.500, 0.590]",0.3252191991761585,3779912
lender_calib,growth,lightgbm,54,0.0213706418871879,0.7618221224615427,"[0.7600, 0.7635]",0.1879999935626983,"[0.154, 0.224]",0.0575292108828817,610789
lender_calib,growth,logistic,54,0.0213706418871879,0.7360402046322636,"[0.7340, 0.7380]",0.1420000046491623,"[0.112, 0.172]",0.0479117302187736,610789
lender_calib,growth,mlp,54,0.0213706418871879,0.7037275107602657,"[0.7013, 0.7058]",0.1080000028014183,"[0.080, 0.134]",0.0440199182865975,610789
lender_calib_hi,lending,lightgbm,54,0.0027111421804875,0.876639119367971,"[0.8721, 0.8813]",0.2939999997615814,"[0.252, 0.334]",0.0572987801947748,214708
lender_calib_hi,lending,logistic,54,0.0027111421804875,0.8650860446185421,"[0.8604, 0.8696]",0.1879999935626983,"[0.152, 0.222]",0.0441006529273809,214708
lender_calib_hi,lending,mlp,54,0.0027111421804875,0.8717308263900121,"[0.8673, 0.8763]",0.1959999948740005,"[0.166, 0.234]",0.0480286521421503,214708
lender_calib_hi,insolvency,lightgbm,54,0.0032939848024398,0.7622401811275685,"[0.7579, 0.7667]",0.123999997973442,"[0.096, 0.152]",0.0173943227724049,165674
lender_calib_hi,insolvency,logistic,54,0.0032939848024398,0.7346661711765712,"[0.7302, 0.7394]",0.0680000036954879,"[0.048, 0.092]",0.012803996323168,165674
lender_calib_hi,insolvency,mlp,54,0.0032939848024398,0.7398121693327915,"[0.7350, 0.7445]",0.0700000002980232,"[0.048, 0.094]",0.0122253883511815,165674
lender_calib_hi,voluntary_exit,lightgbm,54,0.0772758945822715,0.7926659386482884,"[0.7915, 0.7937]",0.8560000061988831,"[0.826, 0.892]",0.350608633990382,3779912
lender_calib_hi,voluntary_exit,logistic,54,0.0772758945822715,0.7693270131084109,"[0.7683, 0.7704]",0.335999995470047,"[0.292, 0.392]",0.309771847691916,3779912
lender_calib_hi,voluntary_exit,mlp,54,0.0772758945822715,0.7769169691592328,"[0.7758, 0.7780]",0.6859999895095825,"[0.638, 0.724]",0.3303965377820728,3779912
lender_calib_hi,growth,lightgbm,54,0.0213706418871879,0.7615625642882087,"[0.7597, 0.7636]",0.2119999974966049,"[0.176, 0.242]",0.0574507164690764,610789
lender_calib_hi,growth,logistic,54,0.0213706418871879,0.7382223969498902,"[0.7363, 0.7402]",0.1519999951124191,"[0.120, 0.182]",0.047879630479542,610789
lender_calib_hi,growth,mlp,54,0.0213706418871879,0.6959406792609455,"[0.6938, 0.6982]",0.0900000035762786,"[0.066, 0.116]",0.0432691837795768,610789
lender_calib_lo,lending,lightgbm,54,0.0027111421804875,0.8822983419908419,"[0.8781, 0.8865]",0.4059999883174896,"[0.360, 0.454]",0.0678208722208358,214708
lender_calib_lo,lending,logistic,54,0.0027111421804875,0.8684618418418151,"[0.8639, 0.8729]",0.1800000071525573,"[0.148, 0.218]",0.0461050952226088,214708
lender_calib_lo,lending,mlp,54,0.0027111421804875,0.8749097004250065,"[0.8704, 0.8794]",0.3260000050067901,"[0.278, 0.364]",0.0621285469554259,214708
lender_calib_lo,insolvency,lightgbm,54,0.0032939848024398,0.7621208925210229,"[0.7578, 0.7667]",0.1360000073909759,"[0.104, 0.164]",0.0175248933992795,165674
lender_calib_lo,insolvency,logistic,54,0.0032939848024398,0.734697992733313,"[0.7301, 0.7394]",0.0719999969005584,"[0.050, 0.096]",0.0128249738783469,165674
lender_calib_lo,insolvency,mlp,54,0.0032939848024398,0.7418378882927147,"[0.7374, 0.7466]",0.0920000001788139,"[0.068, 0.118]",0.0136533478380329,165674
lender_calib_lo,voluntary_exit,lightgbm,54,0.0772758945822715,0.792760895612727,"[0.7917, 0.7938]",0.8339999914169312,"[0.800, 0.866]",0.3508235780295449,3779912
lender_calib_lo,voluntary_exit,logistic,54,0.0772758945822715,0.7692049379638046,"[0.7682, 0.7703]",0.4280000030994415,"[0.374, 0.478]",0.3101359901426141,3779912
lender_calib_lo,voluntary_exit,mlp,54,0.0772758945822715,0.7782442463698268,"[0.7773, 0.7793]",0.6579999923706055,"[0.620, 0.708]",0.3344765527524397,3779912
lender_calib_lo,growth,lightgbm,54,0.0213706418871879,0.761663785829509,"[0.7598, 0.7635]",0.2000000029802322,"[0.164, 0.236]",0.0576443016339626,610789
lender_calib_lo,growth,logistic,54,0.0213706418871879,0.7386851973160536,"[0.7367, 0.7407]",0.1580000072717666,"[0.124, 0.186]",0.0487654224170351,610789
lender_calib_lo,growth,mlp,54,0.0213706418871879,0.7015611913159465,"[0.6992, 0.7039]",0.1340000033378601,"[0.104, 0.168]",0.0440789359380906,610789
lender_fixed,lending,lightgbm,54,0.0027111421804875,0.8860883193343456,not recorded,0.7419999837875366,not recorded,0.1275445667482152,214708
lender_fixed,lending,logistic,54,0.0027111421804875,0.8718685664071034,not recorded,0.1759999990463256,not recorded,0.0509027969062556,214708
lender_fixed,lending,mlp,54,0.0027111421804875,0.8794759419322185,not recorded,0.4900000095367431,not recorded,0.0834416857483194,214708
lender_fixed,insolvency,lightgbm,54,0.0032939848024398,0.7620148501137428,not recorded,0.123999997973442,not recorded,0.0176016758235276,165674
lender_fixed,insolvency,logistic,54,0.0032939848024398,0.7346287724159357,not recorded,0.0740000009536743,not recorded,0.0127816284182219,165674
lender_fixed,insolvency,mlp,54,0.0032939848024398,0.7449358661834029,not recorded,0.0659999996423721,not recorded,0.0126947650743788,165674
lender_fixed,voluntary_exit,lightgbm,54,0.0772758945822715,0.7930883357579397,not recorded,0.8299999833106995,not recorded,0.3510092215536518,3779912
lender_fixed,voluntary_exit,logistic,54,0.0772758945822715,0.7694368194523753,not recorded,0.3400000035762787,not recorded,0.3095905590595631,3779912
lender_fixed,voluntary_exit,mlp,54,0.0772758945822715,0.7783443978093593,not recorded,0.5640000104904175,not recorded,0.3360847238647753,3779912
lender_fixed,growth,lightgbm,54,0.0213706418871879,0.7617308197428249,not recorded,0.1959999948740005,not recorded,0.057416220155632,610789
lender_fixed,growth,logistic,54,0.0213706418871879,0.7387768022307507,not recorded,0.1379999965429306,not recorded,0.0488173560576674,610789
lender_fixed,growth,mlp,54,0.0213706418871879,0.7289742011432452,not recorded,0.1260000020265579,not recorded,0.0475630425309257,610789
refactor,lending,lightgbm,41,0.0027111421804875,0.8766658286449451,not recorded,0.2820000052452087,not recorded,0.0567161855358872,214708
refactor,lending,logistic,41,0.0027111421804875,0.8615083643920711,not recorded,0.1500000059604644,not recorded,0.0403243422208818,214708
refactor,lending,mlp,41,0.0027111421804875,0.8672150617298631,not recorded,0.2660000026226043,not recorded,0.0514800826499712,214708
refactor,insolvency,lightgbm,41,0.0032939848024398,0.761519999902756,not recorded,0.1220000013709068,not recorded,0.016922649690566,165674
refactor,insolvency,logistic,41,0.0032939848024398,0.7323762884330102,not recorded,0.0579999983310699,not recorded,0.0118525341988184,165674
refactor,insolvency,mlp,41,0.0032939848024398,0.7437038657539965,not recorded,0.0920000001788139,not recorded,0.0134529042861838,165674
refactor,voluntary_exit,lightgbm,41,0.0772758945822715,0.7928921898174184,not recorded,0.8539999723434448,not recorded,0.351202304685443,3779912
refactor,voluntary_exit,logistic,41,0.0772758945822715,0.7703665910933274,not recorded,0.2960000038146972,not recorded,0.3103686395894654,3779912
refactor,voluntary_exit,mlp,41,0.0772758945822715,0.7811426347870846,not recorded,0.6779999732971191,not recorded,0.3382436248683284,3779912
refactor,growth,lightgbm,41,0.0213706418871879,0.7620188930685061,not recorded,0.202000007033348,not recorded,0.0577645676129409,610789
refactor,growth,logistic,41,0.0213706418871879,0.7289751080932065,not recorded,0.0979999974370002,not recorded,0.0467681507263645,610789
refactor,growth,mlp,41,0.0213706418871879,0.6941137681348856,not recorded,0.1280000060796737,not recorded,0.0421396980202834,610789
refactor_det,lending,lightgbm,41,0.0027111421804875,0.8766658286449451,"[0.8722, 0.8811]",0.2820000052452087,"[0.240, 0.324]",0.0567161855358872,214708
refactor_det,lending,logistic,41,0.0027111421804875,0.8615083643920712,"[0.8569, 0.8662]",0.1500000059604644,"[0.120, 0.182]",0.0403243422208818,214708
refactor_det,lending,mlp,41,0.0027111421804875,0.8672150617537466,"[0.8627, 0.8720]",0.2660000026226043,"[0.226, 0.308]",0.0514800826461127,214708
refactor_det,insolvency,lightgbm,41,0.0032939848024398,0.761519999902756,"[0.7571, 0.7659]",0.1220000013709068,"[0.096, 0.152]",0.016922649690566,165674
refactor_det,insolvency,logistic,41,0.0032939848024398,0.7323762884132989,"[0.7280, 0.7370]",0.0579999983310699,"[0.036, 0.078]",0.0118525341980513,165674
refactor_det,insolvency,mlp,41,0.0032939848024398,0.7437038657342853,"[0.7390, 0.7480]",0.0920000001788139,"[0.066, 0.114]",0.0134529042863767,165674
refactor_det,voluntary_exit,lightgbm,41,0.0772758945822715,0.7928921906959574,"[0.7919, 0.7940]",0.8460000157356262,"[0.818, 0.882]",0.351202305094146,3779912
refactor_det,voluntary_exit,logistic,41,0.0772758945822715,0.7703665912194813,"[0.7692, 0.7715]",0.2960000038146972,"[0.250, 0.342]",0.3103686399446591,3779912
refactor_det,voluntary_exit,mlp,41,0.0772758945822715,0.7811426354986286,"[0.7800, 0.7823]",0.6800000071525574,"[0.640, 0.728]",0.3382436300738305,3779912
refactor_det,growth,lightgbm,41,0.0213706418871879,0.7620188930685061,"[0.7600, 0.7639]",0.202000007033348,"[0.164, 0.234]",0.0577645676129409,610789
refactor_det,growth,logistic,41,0.0213706418871879,0.7289751080497635,"[0.7269, 0.7312]",0.0979999974370002,"[0.070, 0.126]",0.0467681507263645,610789
refactor_det,growth,mlp,41,0.0213706418871879,0.6941137682941763,"[0.6918, 0.6962]",0.1280000060796737,"[0.096, 0.156]",0.0421396981044202,610789
refactor_growthfix,lending,lightgbm,41,0.0027111421804875,0.8766658286449451,"[0.8723, 0.8810]",0.2820000052452087,"[0.240, 0.324]",0.0567161855358872,214708
