tag,created_at,git_sha,matrix,n_features,feature_hash,target,model,horizon_m,train_rows,train_positives,base_rate,roc_auc,pr_auc,precision_at_100,precision_at_500,precision_at_1000,roc_auc_lo,roc_auc_hi,precision_at_500_lo,precision_at_500_hi
lender_asof21_det,2026-08-07T16:49:22.257501+00:00,47efea3,data/processed/model_matrix_lender_asof21,54,4ba0c29df138,voluntary_exit,mlp,6,3779912,343699,0.07727589458227158,0.7784154047137031,0.338474856255515,0.699999988079071,0.7559999823570251,0.7720000147819519,0.7773351500674898,0.7795599108335837,0.722,0.794
lender_asof21_det,2026-08-07T16:49:22.257501+00:00,47efea3,data/processed/model_matrix_lender_asof21,54,4ba0c29df138,growth,lightgbm,12,610789,55564,0.021370641887187958,0.7619946326620627,0.05777241005017197,0.23000000417232513,0.20999999344348907,0.1809999942779541,0.7600713266462936,0.7637320867184964,0.174,0.244
lender_asof21_det,2026-08-07T16:49:22.257501+00:00,47efea3,data/processed/model_matrix_lender_asof21,54,4ba0c29df138,growth,logistic,12,610789,55564,0.021370641887187958,0.7385847800619267,0.04833379583709711,0.10000000149011612,0.17000000178813934,0.15000000596046448,0.736594510299573,0.7406029185036161,0.138,0.202
lender_asof21_det,2026-08-07T16:49:22.257501+00:00,47efea3,data/processed/model_matrix_lender_asof21,54,4ba0c29df138,growth,mlp,12,610789,55564,0.021370641887187958,0.7006689416463637,0.04130147526646788,0.07999999821186066,0.0820000022649765,0.07599999755620956,0.698264508040875,0.7029568103862024,0.062,0.108
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,lending,lightgbm,3,214708,19624,0.0027111421804875135,0.8810030209806186,0.061159204712241635,0.49000000953674316,0.3319999873638153,0.2409999966621399,0.8766941241615485,0.8852171959545327,0.29,0.378
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,lending,logistic,3,214708,19624,0.0027111421804875135,0.8668093994690536,0.044743466536571914,0.1899999976158142,0.18000000715255737,0.17299999296665192,0.8622367524101331,0.8713627109723812,0.146,0.216
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,lending,mlp,3,214708,19624,0.0027111421804875135,0.8728645925476078,0.05285124576097055,0.3700000047683716,0.23800000548362732,0.1940000057220459,0.868439415507338,0.8773446901512487,0.2,0.276
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,insolvency,lightgbm,6,165674,15022,0.003293984802439809,0.7632470595803762,0.01784641268992739,0.20999999344348907,0.1420000046491623,0.10400000214576721,0.7587781870944442,0.7675923124256627,0.11,0.172
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,insolvency,logistic,6,165674,15022,0.003293984802439809,0.7346323585131371,0.01283032546881015,0.03999999910593033,0.07199999690055847,0.07100000232458115,0.730092271430571,0.7389446652421336,0.05,0.096
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,insolvency,mlp,6,165674,15022,0.003293984802439809,0.7410731749044962,0.0124126734626805,0.07000000029802322,0.07800000160932541,0.07199999690055847,0.7370498839583189,0.7454567299755209,0.056,0.102
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,voluntary_exit,lightgbm,6,3779912,343699,0.07727589458227158,0.7928462567535819,0.3509524206610114,0.8100000023841858,0.8640000224113464,0.8640000224113464,0.7917498423556881,0.7938982112218331,0.83,0.89205
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,voluntary_exit,logistic,6,3779912,343699,0.07727589458227158,0.7702021811142956,0.30993275327255804,0.05000000074505806,0.2939999997615814,0.414000004529953,0.7691336687998579,0.7713624124851215,0.252,0.342
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,voluntary_exit,mlp,6,3779912,343699,0.07727589458227158,0.7725160126329599,0.3252191991761585,0.6299999952316284,0.5379999876022339,0.5960000157356262,0.7713914516302686,0.7735910112611811,0.5,0.59
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,growth,lightgbm,12,610789,55564,0.021370641887187958,0.7618221224615427,0.057529210882881765,0.1899999976158142,0.18799999356269836,0.17000000178813934,0.759977517247451,0.7635297502318092,0.154,0.224
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,growth,logistic,12,610789,55564,0.021370641887187958,0.7360402046322636,0.04791173021877364,0.12999999523162842,0.1420000046491623,0.14399999380111694,0.7339549171274559,0.7380226081017812,0.112,0.172
lender_calib,2026-08-07T17:25:05.793036+00:00,47efea3,data/processed/model_matrix_lender_calib,54,4ba0c29df138,growth,mlp,12,610789,55564,0.021370641887187958,0.7037275107602657,0.04401991828659756,0.029999999329447746,0.1080000028014183,0.10300000011920929,0.7012661250222295,0.7058101260528843,0.08,0.13404999999999997
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,lending,lightgbm,3,214708,19624,0.0027111421804875135,0.876639119367971,0.05729878019477486,0.49000000953674316,0.2939999997615814,0.22100000083446503,0.8720801764407231,0.8812656103187737,0.252,0.334
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,lending,logistic,3,214708,19624,0.0027111421804875135,0.8650860446185421,0.04410065292738096,0.18000000715255737,0.18799999356269836,0.16599999368190765,0.860431746057334,0.8696383919937096,0.152,0.222
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,lending,mlp,3,214708,19624,0.0027111421804875135,0.8717308263900121,0.04802865214215039,0.3100000023841858,0.19599999487400055,0.1599999964237213,0.8672978348838931,0.8762806240351776,0.16595000000000001,0.234
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,insolvency,lightgbm,6,165674,15022,0.003293984802439809,0.7622401811275685,0.017394322772404994,0.18000000715255737,0.12399999797344208,0.10000000149011612,0.7579319893362195,0.7667286136898949,0.09595000000000001,0.15204999999999996
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,insolvency,logistic,6,165674,15022,0.003293984802439809,0.7346661711765712,0.012803996323168004,0.03999999910593033,0.06800000369548798,0.07100000232458115,0.730233306471683,0.7394245465316315,0.048,0.092
