CompanyNumber,grant_has_any,grant_n_organisations,grant_n_projects,grant_max_confidence,grant_min_confidence,grant_match_method,grant_source_date,grant_has_date
00363197,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00371996,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00374185,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00375993,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00376071,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00379136,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00380198,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00382424,1,1,2,0.8,0.8,name_postcode_area,2026-08-11,0
00382434,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00382452,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00387583,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00388999,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00390308,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00395826,1,5,21,0.9,0.9,name_postcode,2026-08-11,0
00399212,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00404087,1,1,5,0.9,0.9,name_postcode,2026-08-11,0
00405555,1,1,54,0.9,0.9,name_postcode,2026-08-11,0
00408759,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00409295,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00412652,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00414220,1,1,5,0.9,0.9,name_postcode,2026-08-11,0
00414948,1,1,3,0.8,0.8,name_postcode_area,2026-08-11,0
00416671,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00421485,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00430208,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00432014,1,1,17,0.9,0.9,name_postcode,2026-08-11,0
00432417,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00434274,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00434787,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00436591,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00440246,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00442517,1,2,0,0.9,0.9,name_postcode,2026-08-11,0
00446036,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00450787,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00452916,1,2,3,0.9,0.9,name_postcode,2026-08-11,0
00453791,1,1,15,0.8,0.8,name_postcode_area,2026-08-11,0
00454169,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00461863,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00464848,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00465899,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00469940,1,2,6,0.9,0.9,name_postcode,2026-08-11,0
00470893,1,1,8,0.9,0.9,name_postcode,2026-08-11,0
00472767,1,1,6,0.9,0.9,name_postcode,2026-08-11,0
00476716,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00477701,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00479576,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00480992,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00481280,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00489320,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
