CompanyNumber,CompanyName,best_target,best_rank,best_score,sector,post_town,raw_hits,n_verified,fetch
14941588,SHERBET REWARDS & MOTIVATION TECHNOLOGIES LIMITED,growth,67,0.3048632559868134,Fast growth & emerging,BRACKLEY,0,0,cache
10844218,SIAN DAVEY PHOTOGRAPHY LTD,insolvency,84,0.1772255833021276,"Technology, legal & professional",TORQUAY,0,0,cache
02913195,SIGMA ASL LIMITED,growth,45,0.327900982942224,"Technology, legal & professional",LEIGH ON SEA,0,0,cache
12066662,SIGPROC LTD,insolvency,5,0.4437550545618836,Fast growth & emerging,READING,0,0,cache
12434583,STRUTHERS ENERGY & POWER LIMITED,growth,97,0.2818173601433241,"Technology, legal & professional",HULL,0,0,cache
10751467,STUART POND DESIGN LIMITED,insolvency,66,0.199977567383488,"Technology, legal & professional",MACCLESFIELD,0,0,cache
16384583,STYLESACK UK LIMITED,voluntary_exit,38,0.9161933840127096,Fast growth & emerging,MANCHESTER,0,0,cache
09025988,SUMEK LTD,insolvency,34,0.3374927130713032,"Technology, legal & professional",LONDON,0,0,cache
05914384,SUNSEEKER INTERNATIONAL (HOLDINGS) LIMITED,lending,33,0.4251425504804157,"Technology, legal & professional",POOLE,1,0,cache
01688505,SUNSEEKER INTERNATIONAL DISTRIBUTION LTD,lending,74,0.3784215617613622,Manufacturing,POOLE,0,0,cache
00675320,SUNSEEKER INTERNATIONAL LIMITED,lending,24,0.438520684224556,Manufacturing,POOLE,1,0,cache
05672642,VIRTUE TECHNOLOGIES LIMITED,growth,63,0.3076947548013175,Fast growth & emerging,SKELMERSDALE,0,0,cache
12800739,VMED O2 UK FINANCING I PLC,lending,26,0.4360999104722269,"Technology, legal & professional",READING,0,0,cache
12923656,ACROSS THE LINE CONSULTING LTD,insolvency,29,0.3662160530819937,"Technology, legal & professional",LONDON,0,0,cache
11739663,ADHD360 LIMITED,growth,33,0.3541533546526417,Fast growth & emerging,HALESOWEN,0,0,cache
07284911,ADVANCED INSTRUMENTS LTD.,growth,1,0.513886986764728,Manufacturing,LONDON,0,0,cache
16384741,ATMOS SUPPLY LIMITED,voluntary_exit,16,0.9161933840127096,Fast growth & emerging,LANCASTER,0,0,cache
10990842,ATS WEB DEVELOPMENT LTD,insolvency,6,0.4424779265170471,"Technology, legal & professional",LONDON,0,0,cache
16389178,AURORA TELEPATHY LIMITED,voluntary_exit,35,0.9161933840127096,Fast growth & emerging,ST HELENS,0,0,cache
09384597,AUTOMATA TECHNOLOGIES LIMITED,lending,47,0.4028815787838686,"Technology, legal & professional",LONDON,0,0,cache
08174072,CHAMBURY CONSULTING LTD,growth,57,0.3132049742713259,Fast growth & emerging,BRIGHTON,0,0,cache
15774674,CHARGING AHEAD LIMITED,insolvency,55,0.2086295037067191,"Technology, legal & professional",PERRANPORTH,3,0,cache
11487443,CHC COACHING LTD,insolvency,14,0.4171879382351297,"Technology, legal & professional",RUISLIP,0,0,cache
16392622,CHICOSA LIMITED,voluntary_exit,100,0.9161933840127096,Fast growth & emerging,MANCHESTER,0,0,cache
07814100,CHORUS INTELLIGENCE LIMITED,growth,46,0.3269565538836746,Fast growth & emerging,WOODBRIDGE,0,0,cache
10138909,EDINBURGH ST JAMES (GP) LIMITED,lending,49,0.4020173121343364,"Technology, legal & professional",LONDON,0,0,cache
15371580,EKORN TECH LTD,growth,76,0.2981880070699904,Fast growth & emerging,MILTON PARK,0,0,cache
09817636,GALILEO GLOBAL TECHNOLOGIES LTD,lending,62,0.3901443020934135,Manufacturing,WHITELEY,0,0,cache
16386990,GC & C GROUP LIMITED,voluntary_exit,69,0.9161933840127096,Fast growth & emerging,BRISTOL,0,0,cache
09064144,GC DYNAMICS LTD,insolvency,92,0.1750084006171566,Manufacturing,BOURNEMOUTH,0,0,cache
16391460,GEWU LTD,voluntary_exit,96,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
08436329,ICKLE BUBBA LIMITED,growth,90,0.2859274778224173,Manufacturing,SWANSEA,0,0,cache
11346801,ICS.AI LTD,growth,13,0.4098790113641689,"Technology, legal & professional",BASINGSTOKE,0,0,cache
08092834,ICT4 LIMITED,growth,20,0.3900596017667249,Fast growth & emerging,REDRUTH,0,0,cache
08563469,IMAGINATIVE PROPERTY GROUP LIMITED,lending,43,0.4068165812845176,"Technology, legal & professional",CARDIFF,0,0,cache
07568924,IN THE ZONE LEYLAND LTD,growth,82,0.2904267219612276,"Technology, legal & professional",LEYLAND,0,0,cache
10388935,INCIPER LIMITED,growth,79,0.2936766918886452,Fast growth & emerging,LONDON,0,0,cache
06264478,M PHILLIPS CONSULTANTS LTD,insolvency,75,0.1874260692519533,Fast growth & emerging,BISHOP'S STORTFORD,0,0,cache
06901841,MA COST CONSULTING LIMITED,growth,55,0.3164134097732371,"Technology, legal & professional",MILTON KEYNES,0,0,cache
16389331,MAAL ACADEMY LTD,voluntary_exit,6,0.9161933840127096,Fast growth & emerging,KINGTON,0,0,cache
16386374,NAZBEE GROUP LIMITED,voluntary_exit,82,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
16386983,NEPTUNE PULSE LTD,voluntary_exit,49,0.9161933840127096,Fast growth & emerging,SOUTHAMPTON,0,0,cache
16390029,NESTABLE TECHNOLOGIES LIMITED,voluntary_exit,30,0.9161933840127096,Fast growth & emerging,CAMBERLEY,0,0,cache
SC845100,NEXDUNE LIMITED,voluntary_exit,70,0.9161933840127096,Fast growth & emerging,EDINBURGH,0,0,cache
11468874,PGMBM LTD,lending,60,0.3914706292202903,"Technology, legal & professional",LONDON,0,0,cache
07272851,PHAYS LTD,insolvency,100,0.1704213498370616,"Technology, legal & professional",PENISTONE,0,0,cache
08853263,SCHULTZ MEDICAL (UK) LTD,lending,81,0.3735420641808007,Manufacturing,SOUTHPORT,0,0,cache
16384548,SDP DIGITAL LTD,voluntary_exit,93,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
16390236,SERVPULSE LTD,voluntary_exit,75,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
02878530,SWIFT DENTAL LABORATORY LIMITED,growth,94,0.2844069624971924,Manufacturing,BOLTON,0,0,cache
03094287,T M TRUSTEES LIMITED,lending,5,0.5248619544660396,Fast growth & emerging,SALISBURY,0,0,cache
16385546,TADWALA LIMITED,voluntary_exit,47,0.9161933840127096,Fast growth & emerging,BIRMINGHAM,0,0,cache
05840856,TALKTALK BRANDS LIMITED,lending,84,0.3718187898975891,"Technology, legal & professional",SALFORD,0,0,cache
16385638,TAMAI TECHNOLOGIES LTD,voluntary_exit,62,0.9161933840127096,Fast growth & emerging,MILTON KEYNES,0,0,cache
10198306,VATAX ACCOUNTANCY SERVICES LTD,insolvency,97,0.1714520860971016,"Technology, legal & professional",RUSHDEN,0,0,cache
02091108,VELOCITI SOLUTIONS LIMITED,growth,37,0.3384440684145962,Fast growth & emerging,BROMSGROVE,0,0,cache
16392789,VERICHAINX TECH LTD,voluntary_exit,22,0.9161933840127096,Fast growth & emerging,BIRMINGHAM,0,0,cache
15084559,VICTORY CONVERSIONS LIMITED,growth,68,0.3044841433520882,Manufacturing,HULL,0,0,cache
03707664,VIRGIN MOBILE TELECOMS LIMITED,lending,88,0.3681867461376279,"Technology, legal & professional",READING,0,0,cache
08587686,AFINITI EUROPE TECHNOLOGIES LIMITED,lending,54,0.3979634467349605,Fast growth & emerging,SALFORD,0,0,cache
03295323,AGENDA RESOURCE MANAGEMENT LIMITED,growth,64,0.3072999504919584,"Technology, legal & professional",HULL,0,0,cache
12068803,AIRBASE UK INTERIORS LTD,growth,41,0.3295192905808324,Manufacturing,CRAWLEY,0,0,cache
08954533,AJM FINANCIAL SERVICES LONDON LTD,insolvency,79,0.1791195332769974,"Technology, legal & professional",LONDON,0,0,cache
16391017,BUZZFINCHTECH LTD,voluntary_exit,80,0.9161933840127096,Fast growth & emerging,BASILDON,0,0,cache
01413300,CAMSTAR HERBS LIMITED,growth,47,0.3267685639619421,Manufacturing,EYE,0,0,cache
06581977,ENHANCED MUSIC LIMITED,lending,68,0.3832249511595837,Manufacturing,LONDON,0,0,cache
NI654416,ESTHER WOMEN LIMITED,insolvency,9,0.4313915717219407,Fast growth & emerging,NEWRY,0,0,cache
16983519,EUROVIEW AG LTD,insolvency,83,0.1780029493515103,Manufacturing,WITHAM,0,0,cache
16389363,HOSTIMATIC LTD,voluntary_exit,57,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
04181698,HOWEFAB LTD,insolvency,40,0.2590224223024976,Manufacturing,PRESTON,0,0,cache
08302799,HUMBERSIDE BLOCKS (2012) LIMITED,insolvency,60,0.2026705106830419,Manufacturing,DEWSBURY,0,0,cache
11596665,HUNT CONTRACTING SERVICES LTD,insolvency,7,0.4423697042991484,Fast growth & emerging,HEMEL HEMPSTEAD,0,0,cache
15222781,HXCUK SPV1 LTD,lending,83,0.3724930457902368,"Technology, legal & professional",CHESTER,0,0,cache
16386776,HYPERRING ALLIANCE LTD,voluntary_exit,56,0.9161933840127096,Fast growth & emerging,TWICKENHAM,0,0,cache
09765349,MAKROSOFT LIMITED,insolvency,76,0.1868585609641802,Fast growth & emerging,WOKINGHAM,0,0,cache
15368163,MAN PRODUCTIONS LIMITED,growth,99,0.2809799744535375,"Technology, legal & professional",LONDON,0,0,cache
10630540,MARTIN AND COMPANY AUDIT LIMITED,lending,76,0.3769182788557548,"Technology, legal & professional",WINCHESTER,0,0,cache
10086511,ORIGIN COMMUNICATIONS LIMITED,lending,72,0.3791883053582316,"Technology, legal & professional",SALFORD,0,0,cache
08446340,OSTEREO LIMITED,lending,99,0.3580593573982998,"Technology, legal & professional",MANCHESTER,0,0,cache
16390605,PROTECH INSIGHTS LTD,voluntary_exit,36,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
01581476,PROUDREED LIMITED,lending,4,0.525672472227238,"Technology, legal & professional",KINGSWINFORD,0,0,cache
12617660,PUBX AI LTD,lending,100,0.355634344432146,Fast growth & emerging,CHIPPING CAMPDEN,0,0,cache
16389516,PUREPLAYERS AGENCY LTD,voluntary_exit,61,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
14064420,Q CHISHTI PROPERTIES LIMITED,growth,34,0.352887250740077,Fast growth & emerging,LUTON,0,0,cache
15993216,SAGE MEDIEQUIP LIMITED,growth,61,0.3084481776831179,Manufacturing,SOUTHALL,0,0,cache
10170660,SAHASRA FUSION TECHNOLOGIES LIMITED,insolvency,93,0.1749466029917405,Fast growth & emerging,SWINDON,0,0,cache
16389746,SAHITHI LIMITED,voluntary_exit,25,0.9161933840127096,Fast growth & emerging,LUTON,0,0,cache
09037573,SAI TECH PVT. LTD,insolvency,50,0.216069645021477,Fast growth & emerging,SLOUGH,0,0,cache
16391425,SAIRUS LTD,voluntary_exit,21,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
12018992,SAMUEL E LEWIS LTD,insolvency,61,0.2024300832745689,"Technology, legal & professional",READING,0,0,cache
16388817,SANIA DIGITAL SERVICES LTD,voluntary_exit,40,0.9161933840127096,Fast growth & emerging,MANCHESTER,0,0,cache
09642494,SASHA BALLA PHOTOGRAPHY LTD.,insolvency,51,0.215667127220137,"Technology, legal & professional",UPMINSTER,0,0,cache
06714614,SAVVY IT LIMITED,growth,95,0.2823182677553986,Fast growth & emerging,MANCHESTER,0,0,cache
12045967,SB CONSULTING SOLUTIONS LIMITED,insolvency,39,0.2728477863479012,"Technology, legal & professional",DIDCOT,0,0,cache
16387660,SBUSSHOP LTD,voluntary_exit,79,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
16390439,SCALING EDGE AI LTD,voluntary_exit,83,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
08281645,TETRA REAL ESTATE LIMITED,lending,91,0.3669474420404784,"Technology, legal & professional",STOCKTON,0,0,cache
04171318,TGC INTERNATIONAL LIMITED,growth,53,0.3188583619100538,Manufacturing,ROCHESTER,0,0,cache
02465785,THE BRECKS COMPANY LIMITED,growth,71,0.3029725865609721,Manufacturing,BUBWITH,0,0,cache
10828250,ZAMEG STUDIOS LTD,insolvency,45,0.2318329037337209,Manufacturing,BIRMINGHAM,0,0,cache
08294659,ZESTY LIMITED,growth,21,0.3797751904690357,Fast growth & emerging,LONDON,0,0,cache
16387843,ZINATITECH LTD,voluntary_exit,44,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
16386849,ALINAPARKERRVLT LTD,voluntary_exit,66,0.9161933840127096,Fast growth & emerging,MANCHESTER,0,0,cache
11636665,ALPHA EDGE LTD,insolvency,10,0.4313915717219407,Fast growth & emerging,TRING,0,0,cache
15147181,BEDRE AND BEDRE LIMITED,insolvency,57,0.2062292299244617,"Technology, legal & professional",UXBRIDGE,0,0,cache
16385441,BEKZAT TECH LTD,voluntary_exit,37,0.9161933840127096,Fast growth & emerging,EAST HAM,0,0,cache
16384481,BEYONDTHEORY TECHNOLOGIES LTD,voluntary_exit,27,0.9161933840127096,Fast growth & emerging,LEEDS,0,0,cache
07652159,CUMMING MANAGEMENT GROUP UK LTD,growth,25,0.3667012911536229,"Technology, legal & professional",LONDON,0,0,cache
16385366,CVMASTERMIND LIMITED,voluntary_exit,84,0.9161933840127096,Fast growth & emerging,SHEFFIELD,0,0,cache
16391165,DADI ANALYTICS LTD,voluntary_exit,68,0.9161933840127096,Fast growth & emerging,KINGTON,0,0,cache
00941798,DALE POWER SOLUTIONS LIMITED,growth,43,0.3292128014104761,Manufacturing,SCARBOROUGH,0,0,cache
12153459,DANDOESLIGHTS LTD,insolvency,15,0.4051343723562174,"Technology, legal & professional",HEMEL HEMPSTEAD,0,0,cache
13361850,FLEXSEA LTD,insolvency,41,0.2486267095338011,Manufacturing,LONDON,0,0,cache
07749953,FLOTECH PERFORMANCE SYSTEMS LTD,growth,44,0.3287526144784989,Manufacturing,HARROGATE,0,0,cache
