CompanyNumber,prop_has_any,prop_count_total,prop_count_12m,prop_first_date,prop_latest_date,prop_days_since_latest,prop_value_total,prop_value_max,prop_value_count,prop_types,prop_match_method,prop_max_confidence,prop_min_confidence
00443687,1,3,0,2014-05-16,2020-10-01,2099,,,0,property_title,company_number,1.0,1.0
00443976,1,1,0,1988-07-29,1988-07-29,13851,,,0,property_title,company_number,1.0,1.0
00444085,1,1,0,1990-07-13,1990-07-13,13137,,,0,property_title,company_number,1.0,1.0
00444604,1,1,0,1962-03-20,1962-03-20,23479,,,0,property_title,company_number,1.0,1.0
00444869,1,3,0,2011-07-05,2022-04-21,1532,,,0,property_title,company_number,1.0,1.0
00445084,1,1,0,1980-05-23,1980-05-23,16840,,,0,property_title,company_number,1.0,1.0
00445141,1,1,0,2013-07-29,2013-07-29,4720,,,0,property_title,company_number,1.0,1.0
00445555,1,5,0,1996-12-31,2018-08-10,2882,,,0,property_title,company_number,1.0,1.0
00445575,1,2,0,2008-12-22,2012-04-13,5192,,,0,property_title,company_number,1.0,1.0
00445797,1,13,0,1994-12-12,2018-11-12,2788,,,0,property_title,company_number,1.0,1.0
00445884,1,7,0,1988-08-30,2007-06-04,6967,,,0,property_title,company_number,1.0,1.0
00446036,1,10,2,2015-03-20,2025-12-31,182,,,0,property_title,company_number,1.0,1.0
00446245,1,5,0,1986-12-11,2025-04-08,449,780000.0,295000.0,3,property_title,company_number,1.0,1.0
00446422,1,1,0,2020-06-15,2020-06-15,2207,,,0,property_title,company_number,1.0,1.0
00446451,1,2,0,1999-11-08,2013-05-20,4790,,,0,property_title,company_number,1.0,1.0
00446651,1,3,0,1984-07-16,1994-02-22,11817,,,0,property_title,company_number,1.0,1.0
00446897,1,2,0,1977-08-23,2021-03-29,1920,,,0,property_title,company_number,1.0,1.0
00446915,1,396,1,1976-11-05,2025-10-17,257,7975380.0,4500000.0,8,property_title,company_number,1.0,1.0
00447239,1,1,0,2022-09-07,2022-09-07,1393,,,0,property_title,company_number,1.0,1.0
00447302,1,21,0,1984-10-10,2022-02-23,1589,345500.0,175000.0,2,property_title,company_number,1.0,1.0
00447327,1,4,0,2017-09-19,2024-05-01,791,,,0,property_title,company_number,1.0,1.0
00447495,1,5,0,1975-02-07,2010-12-20,5672,,,0,property_title,company_number,1.0,1.0
00447826,1,2,0,2008-11-14,2023-11-21,953,,,0,property_title,company_number,1.0,1.0
00447864,1,1,0,2005-05-24,2005-05-24,7708,,,0,property_title,company_number,1.0,1.0
00447952,1,2,0,2007-07-20,2023-03-15,1204,,,0,property_title,company_number,1.0,1.0
00448075,1,1,0,2010-05-27,2010-05-27,5879,,,0,property_title,company_number,1.0,1.0
00448163,1,1,0,1997-02-21,1997-02-21,10722,,,0,property_title,company_number,1.0,1.0
00448763,1,1,0,2016-02-03,2016-02-03,3801,172018.0,172018.0,1,property_title,company_number,1.0,1.0
00449733,1,9,0,1979-09-21,2016-11-10,3520,,,0,property_title,company_number,1.0,1.0
00449802,1,3,0,1998-09-11,2008-03-17,6680,186000.0,186000.0,1,property_title,company_number,1.0,1.0
00449803,1,2,0,2021-12-07,2021-12-07,1667,550000.0,275000.0,2,property_title,company_number,1.0,1.0
00450316,1,6,2,2010-10-12,2026-01-15,167,1045000.0,240000.0,6,property_title,company_number,1.0,1.0
00450550,1,1,0,2006-08-23,2006-08-23,7252,,,0,property_title,company_number,1.0,1.0
00450577,1,1,0,1985-12-11,1985-12-11,14812,,,0,property_title,company_number,1.0,1.0
00450650,1,2,0,2019-08-14,2024-03-07,846,,,0,property_title,company_number,1.0,1.0
00450905,1,1,0,2016-12-06,2016-12-06,3494,,,0,property_title,company_number,1.0,1.0
00451593,1,5,0,2018-06-18,2024-04-19,803,,,0,property_title,company_number,1.0,1.0
00451739,1,3,0,1976-05-03,2012-06-26,5118,,,0,property_title,company_number,1.0,1.0
00451921,1,11,0,2012-05-23,2024-05-29,763,1097750.0,750000.0,3,property_title,company_number,1.0,1.0
00452636,1,2,0,2012-02-15,2012-02-15,5250,,,0,property_title,company_number,1.0,1.0
00452816,1,1,0,2022-07-25,2022-07-25,1437,,,0,property_title,company_number,1.0,1.0
00452882,1,2,0,1990-04-19,2003-05-22,8441,,,0,property_title,company_number,1.0,1.0
00452916,1,18,0,2006-11-22,2023-11-02,972,,,0,property_title,company_number,1.0,1.0
00453042,1,1,0,2019-04-30,2019-04-30,2619,338720.0,338720.0,1,property_title,company_number,1.0,1.0
00453594,1,4,0,2016-01-22,2024-09-03,666,,,0,property_title,company_number,1.0,1.0
00453791,1,616,4,1974-03-15,2026-02-19,132,11892955.0,5500000.0,18,property_title,company_number,1.0,1.0
00454169,1,3,0,2010-06-25,2013-02-15,4884,,,0,property_title,company_number,1.0,1.0
00454174,1,3,0,1993-12-30,2010-04-16,5920,,,0,property_title,company_number,1.0,1.0
00454264,1,9,0,2009-01-28,2024-03-14,839,,,0,property_title,company_number,1.0,1.0
00454555,1,1,0,1990-05-16,1990-05-16,13195,,,0,property_title,company_number,1.0,1.0
00455366,1,25,0,1949-09-20,2023-08-07,1059,7030000.0,4000000.0,4,property_title,company_number,1.0,1.0
00455384,1,1,0,2021-08-11,2021-08-11,1785,,,0,property_title,company_number,1.0,1.0
00455692,1,2,0,2007-04-27,2011-06-09,5501,,,0,property_title,company_number,1.0,1.0
00455699,1,1,0,2017-04-11,2017-04-11,3368,,,0,property_title,company_number,1.0,1.0
00455754,1,1,0,2012-06-28,2012-06-28,5116,,,0,property_title,company_number,1.0,1.0
00455916,1,2,0,1999-05-17,2004-04-20,8107,,,0,property_title,company_number,1.0,1.0
02623712,1,1,0,1994-08-11,1994-08-11,11647,,,0,property_title,company_number,1.0,1.0
02623872,1,1,0,2017-12-15,2017-12-15,3120,,,0,property_title,company_number,1.0,1.0
02623892,1,1,0,2020-01-03,2020-01-03,2371,,,0,property_title,company_number,1.0,1.0
02624214,1,5,0,1996-08-15,2024-04-24,798,1102500.0,1102500.0,1,property_title,company_number,1.0,1.0
02624327,1,1,0,2024-10-28,2024-10-28,611,,,0,property_title,company_number,1.0,1.0
02624692,1,4,0,2001-08-06,2001-08-06,9095,,,0,property_title,company_number,1.0,1.0
02624698,1,1,0,2010-11-10,2010-11-10,5712,,,0,property_title,company_number,1.0,1.0
02624751,1,1,0,2009-01-27,2009-01-27,6364,,,0,property_title,company_number,1.0,1.0
02624818,1,1,0,2001-10-01,2001-10-01,9039,,,0,property_title,company_number,1.0,1.0
02624995,1,1,0,2002-05-16,2002-05-16,8812,48000.0,48000.0,1,property_title,company_number,1.0,1.0
02625137,1,1,0,2024-01-29,2024-01-29,884,,,0,property_title,company_number,1.0,1.0
02625274,1,2,0,2016-07-08,2016-07-08,3645,245000.0,245000.0,1,property_title,company_number,1.0,1.0
02625589,1,2,0,2005-12-06,2024-04-17,805,,,0,property_title,company_number,1.0,1.0
02626166,1,1,0,2020-11-24,2020-11-24,2045,,,0,property_title,company_number,1.0,1.0
02626181,1,1,0,2019-08-19,2019-08-19,2508,120000.0,120000.0,1,property_title,company_number,1.0,1.0
02626700,1,1,0,2019-01-18,2019-01-18,2721,,,0,property_title,company_number,1.0,1.0
02626784,1,1,0,2014-01-22,2014-01-22,4543,,,0,property_title,company_number,1.0,1.0
02626921,1,1,0,2019-10-02,2019-10-02,2464,,,0,property_title,company_number,1.0,1.0
02627116,1,3,0,1994-06-30,2001-11-08,9001,,,0,property_title,company_number,1.0,1.0
02627168,1,1,0,2007-05-15,2007-05-15,6987,,,0,property_title,company_number,1.0,1.0
02627216,1,7,0,2006-06-26,2017-10-17,3179,397998.0,122000.0,5,property_title,company_number,1.0,1.0
02627261,1,2,0,2014-12-01,2014-12-01,4230,,,0,property_title,company_number,1.0,1.0
02627262,1,6,0,2008-07-25,2018-01-24,3080,,,0,property_title,company_number,1.0,1.0
02627406,1,3,0,1999-03-11,2016-01-12,3823,,,0,property_title,company_number,1.0,1.0
02627518,1,35,0,1992-07-06,2024-06-18,743,,,0,property_title,company_number,1.0,1.0
02627556,1,2,0,2022-07-29,2025-04-29,428,,,0,property_title,company_number,1.0,1.0
02627655,1,1,0,2017-06-13,2017-06-13,3305,,,0,property_title,company_number,1.0,1.0
02627811,1,3,0,2024-08-16,2024-09-09,660,,,0,property_title,company_number,1.0,1.0
02627909,1,2,0,2013-06-11,2013-06-11,4768,,,0,property_title,company_number,1.0,1.0
02628057,1,3,0,2005-05-05,2018-03-05,3040,,,0,property_title,company_number,1.0,1.0
02628148,1,1,0,2018-11-19,2018-11-19,2781,,,0,property_title,company_number,1.0,1.0
02628212,1,5,0,1991-10-08,1996-12-12,10793,,,0,property_title,company_number,1.0,1.0
