CompanyNumber,targets,best_target,best_rank,best_score,CompanyName,post_town,postcode,sector,segment,lifecycle,CompanyStatus
11082181,lending,lending,12,0.47901832391598254,INTERGLOBE ENTERPRISES (UK) LIMITED,ADDLESTONE,KT15 2LE,"Technology, legal & professional",Large,Trading,Active
03583482,insolvency,insolvency,19,0.3896984409771764,KW PROPERTIES (COBBYDALE) LTD,SHELF,HX3 7PB,"Technology, legal & professional",Micro,Trading,Active
04227934,lending,lending,27,0.43605815241954327,L & C EUROPE LIMITED,KINGSWINFORD,DY6 7NA,"Technology, legal & professional",Large,Trading,Active
02196600,lending,lending,50,0.4020117830773694,L.C.P. MANAGEMENT LIMITED,KINGSWINFORD,DY6 7NA,"Technology, legal & professional",Large,Trading,Active
13257177,lending,lending,71,0.38069655349186593,LA FABRICATIONS (SOUTH EAST) LIMITED,MAIDSTONE,ME15 6JD,Manufacturing,Small,Trading,Active
SC845423,voluntary_exit,voluntary_exit,2,0.9161933840127097,LADA.AI LTD,HUNTLY,AB54 4SL,Fast growth & emerging,No Filings,Trading,Active
13813174,insolvency,insolvency,74,0.1880536548908111,LAKESHORE CONSULTING LTD,LONDON,W4 3HY,"Technology, legal & professional",Micro,Trading,Active
12686388,insolvency,insolvency,81,0.17857268399730578,MORE THAN VENICE LTD,BIRMINGHAM,B27 6LG,Fast growth & emerging,Micro,Fading,Active - Proposal to Strike off
11769911,growth,growth,48,0.3236900189431865,MORRIS LINE ENGINEERING LIMITED,BRIDGEND,CF31 3EB,Manufacturing,Medium,Trading,Active
06587174,insolvency,insolvency,96,0.17221278256854525,MOS MANAGEMENT SERVICES LIMITED,CHRISTCHURCH,BH23 4PE,"Technology, legal & professional",Small,Trading,Active
16389867,voluntary_exit,voluntary_exit,15,0.9161933840127097,MOTECH GROUP LTD,BILLINGHAM,TS22 5TL,Fast growth & emerging,No Filings,Trading,Active
12723324,lending,lending,1,0.5771819740849737,MS LENDING GROUP LIMITED,MANCHESTER,M3 5FS,Fast growth & emerging,Large,Trading,Active
11309482,growth,growth,3,0.46588341557731566,PRAESTANTIA TECHNOLOGY LIMITED,REDRUTH,TR15 3PT,Fast growth & emerging,Small,Trading,Active
01421991,growth,growth,72,0.30242816412752727,PRAYBOURNE LIMITED,BROOMHALL,WR5 2QR,Manufacturing,Medium,Trading,Active
12020842,insolvency,insolvency,98,0.17109698979767013,PRICE CREATIVE LTD,GUILDFORD,GU2 7PH,"Technology, legal & professional",Micro,Trading,Active
16385835,voluntary_exit,voluntary_exit,60,0.9161933840127097,PRIVATE AI SYSTEMS LTD,LONDON,N1 7GU,Fast growth & emerging,No Filings,Trading,Active
16386806,voluntary_exit,voluntary_exit,89,0.9161933840127097,PRIVATE SECURE AI LTD,LONDON,EC2A 4NE,Fast growth & emerging,No Filings,Trading,Active
12576961,growth,growth,51,0.320973408558588,PRO HEALTH SOLUTIONS LTD,LONDON,N1 7GU,Manufacturing,Micro,Trading,Active
11641444,lending,lending,86,0.36892013224309245,SHAFTESBURY UK DISTRIBUTION LTD,LONDON,W1U 7EU,"Technology, legal & professional",Small,Trading,Active
12875094,lending,lending,73,0.3790403440195921,SHAW GIBBS (AUDIT) LIMITED,OXFORD,OX2 7DY,"Technology, legal & professional",Subsidiary,Trading,Active
16387839,voluntary_exit,voluntary_exit,45,0.9161933840127097,SHENGXING CULTURE MEDIA LTD,MILTON KEYNES,MK10 7HZ,Fast growth & emerging,No Filings,Trading,Active
16388582,voluntary_exit,voluntary_exit,39,0.9161933840127097,SHEPHERDSTACK LTD,KINGTON,HR5 3DJ,Fast growth & emerging,No Filings,Trading,Active
14941588,growth,growth,67,0.30486325598681346,SHERBET REWARDS & MOTIVATION TECHNOLOGIES LIMITED,BRACKLEY,NN13 5RN,Fast growth & emerging,Subsidiary,Trading,Active
10844218,insolvency,insolvency,84,0.17722558330212762,SIAN DAVEY PHOTOGRAPHY LTD,TORQUAY,TQ2 7AQ,"Technology, legal & professional",Small,Trading,Active
02913195,growth,growth,45,0.327900982942224,SIGMA ASL LIMITED,LEIGH ON SEA,SS9 5PR,"Technology, legal & professional",Medium,Trading,Active
12066662,insolvency,insolvency,5,0.44375505456188363,SIGPROC LTD,READING,RG30 4YD,Fast growth & emerging,Micro,Trading,Active
12434583,growth,growth,97,0.28181736014332415,STRUTHERS ENERGY & POWER LIMITED,HULL,HU9 5NP,"Technology, legal & professional",Medium,Trading,Active
10751467,insolvency,insolvency,66,0.19997756738348807,STUART POND DESIGN LIMITED,MACCLESFIELD,SK11 0HT,"Technology, legal & professional",Micro,Trading,Active
16384583,voluntary_exit,voluntary_exit,38,0.9161933840127097,STYLESACK UK LIMITED,MANCHESTER,M8 0PT,Fast growth & emerging,No Filings,Trading,Active
09025988,insolvency,insolvency,34,0.3374927130713032,SUMEK LTD,LONDON,E6 2JA,"Technology, legal & professional",Micro,Trading,Active
05914384,lending,lending,33,0.4251425504804157,SUNSEEKER INTERNATIONAL (HOLDINGS) LIMITED,POOLE,BH15 1JD,"Technology, legal & professional",Large,Trading,Active
01688505,lending,lending,74,0.37842156176136227,SUNSEEKER INTERNATIONAL DISTRIBUTION LTD,POOLE,BH15 1JD,Manufacturing,Subsidiary,Trading,Active
00675320,lending,lending,24,0.438520684224556,SUNSEEKER INTERNATIONAL LIMITED,POOLE,BH15 1JD,Manufacturing,Large,Trading,Active
05672642,growth,growth,63,0.3076947548013175,VIRTUE TECHNOLOGIES LIMITED,SKELMERSDALE,WN8 9TD,Fast growth & emerging,Medium,Trading,Active
12800739,lending,lending,26,0.4360999104722269,VMED O2 UK FINANCING I PLC,READING,RG2 6UU,"Technology, legal & professional",Large,Trading,Active
12923656,insolvency,insolvency,29,0.3662160530819937,ACROSS THE LINE CONSULTING LTD,LONDON,E5 9QP,"Technology, legal & professional",Micro,Trading,Active
11739663,growth,growth,33,0.35415335465264175,ADHD360 LIMITED,HALESOWEN,B63 4AH,Fast growth & emerging,Medium,Trading,Active
07284911,growth,growth,1,0.513886986764728,ADVANCED INSTRUMENTS LTD.,LONDON,EC4M 9AF,Manufacturing,Medium,Trading,Active
16384741,voluntary_exit,voluntary_exit,16,0.9161933840127097,ATMOS SUPPLY LIMITED,LANCASTER,LA1 4PF,Fast growth & emerging,No Filings,Trading,Active
10990842,insolvency,insolvency,6,0.44247792651704715,ATS WEB DEVELOPMENT LTD,LONDON,SE10 9PR,"Technology, legal & professional",Micro,Trading,Active
16389178,voluntary_exit,voluntary_exit,35,0.9161933840127097,AURORA TELEPATHY LIMITED,ST HELENS,WA10 4NN,Fast growth & emerging,No Filings,Trading,Active
09384597,lending,lending,47,0.4028815787838686,AUTOMATA TECHNOLOGIES LIMITED,LONDON,EC4M 7AN,"Technology, legal & professional",Large,Trading,Active
08174072,growth,growth,57,0.31320497427132593,CHAMBURY CONSULTING LTD,BRIGHTON,BN1 1UF,Fast growth & emerging,Small,Trading,Active
15774674,insolvency,insolvency,55,0.2086295037067191,CHARGING AHEAD LIMITED,PERRANPORTH,TR6 0FL,"Technology, legal & professional",Micro,Trading,Active
11487443,insolvency,insolvency,14,0.41718793823512973,CHC COACHING LTD,RUISLIP,HA4 7AE,"Technology, legal & professional",Small,Trading,Active
16392622,voluntary_exit,voluntary_exit,100,0.9161933840127097,CHICOSA LIMITED,MANCHESTER,M8 0PT,Fast growth & emerging,No Filings,Trading,Active
07814100,growth,growth,46,0.3269565538836746,CHORUS INTELLIGENCE LIMITED,WOODBRIDGE,IP12 4AL,Fast growth & emerging,Small,Trading,Active
10138909,lending,lending,49,0.4020173121343364,EDINBURGH ST JAMES (GP) LIMITED,LONDON,W12 7SL,"Technology, legal & professional",Large,Trading,Active
15371580,growth,growth,76,0.29818800706999044,EKORN TECH LTD,MILTON PARK,OX14 4SB,Fast growth & emerging,Micro,Trading,Active
09817636,lending,lending,62,0.39014430209341355,GALILEO GLOBAL TECHNOLOGIES LTD,WHITELEY,PO15 7AD,Manufacturing,Large,Trading,Active
16386990,voluntary_exit,voluntary_exit,69,0.9161933840127097,GC & C GROUP LIMITED,BRISTOL,BS10 7ER,Fast growth & emerging,No Filings,Trading,Active
09064144,insolvency,insolvency,92,0.1750084006171566,GC DYNAMICS LTD,BOURNEMOUTH,BH7 6HZ,Manufacturing,Micro,Trading,Active
16391460,voluntary_exit,voluntary_exit,96,0.9161933840127097,GEWU LTD,LONDON,WC2H 9JQ,Fast growth & emerging,No Filings,Trading,Active
08436329,growth,growth,90,0.28592747782241734,ICKLE BUBBA LIMITED,SWANSEA,SA7 9FJ,Manufacturing,Medium,Trading,Active
11346801,growth,growth,13,0.4098790113641689,ICS.AI LTD,BASINGSTOKE,RG24 8AG,"Technology, legal & professional",Small,Trading,Active
08092834,growth,growth,20,0.39005960176672494,ICT4 LIMITED,REDRUTH,TR15 3PT,Fast growth & emerging,Small,Trading,Active
08563469,lending,lending,43,0.40681658128451764,IMAGINATIVE PROPERTY GROUP LIMITED,CARDIFF,CF10 4LN,"Technology, legal & professional",Small,Trading,Active
07568924,growth,growth,82,0.29042672196122765,IN THE ZONE LEYLAND LTD,LEYLAND,PR25 2YJ,"Technology, legal & professional",Micro,Trading,Active
10388935,growth,growth,79,0.2936766918886452,INCIPER LIMITED,LONDON,EC2M 2PF,Fast growth & emerging,Subsidiary,Trading,Active
06264478,insolvency,insolvency,75,0.18742606925195335,M PHILLIPS CONSULTANTS LTD,BISHOP'S STORTFORD,CM22 7WE,Fast growth & emerging,Small,Trading,Active
06901841,growth,growth,55,0.3164134097732371,MA COST CONSULTING LIMITED,MILTON KEYNES,MK5 8FR,"Technology, legal & professional",Medium,Trading,Active
16389331,voluntary_exit,voluntary_exit,6,0.9161933840127097,MAAL ACADEMY LTD,KINGTON,HR5 3DJ,Fast growth & emerging,No Filings,Trading,Active
16386374,voluntary_exit,voluntary_exit,82,0.9161933840127097,NAZBEE GROUP LIMITED,LONDON,E13 9PS,Fast growth & emerging,No Filings,Trading,Active
16386983,voluntary_exit,voluntary_exit,49,0.9161933840127097,NEPTUNE PULSE LTD,SOUTHAMPTON,SO14 0BH,Fast growth & emerging,No Filings,Trading,Active
16390029,voluntary_exit,voluntary_exit,30,0.9161933840127097,NESTABLE TECHNOLOGIES LIMITED,CAMBERLEY,GU15 1HD,Fast growth & emerging,No Filings,Trading,Active
SC845100,voluntary_exit,voluntary_exit,70,0.9161933840127097,NEXDUNE LIMITED,EDINBURGH,EH2 3ES,Fast growth & emerging,No Filings,Trading,Active
11468874,lending,lending,60,0.3914706292202903,PGMBM LTD,LONDON,WC2A 1QS,"Technology, legal & professional",Large,Trading,Active
07272851,insolvency,insolvency,100,0.17042134983706167,PHAYS LTD,PENISTONE,S36 7EX,"Technology, legal & professional",Micro,Trading,Active
08853263,growth|lending,lending,81,0.37354206418080077,SCHULTZ MEDICAL (UK) LTD,SOUTHPORT,PR9 7RL,Manufacturing,Small,Trading,Active
16384548,voluntary_exit,voluntary_exit,93,0.9161933840127097,SDP DIGITAL LTD,LONDON,EC1V 2NX,Fast growth & emerging,No Filings,Trading,Active
16390236,voluntary_exit,voluntary_exit,75,0.9161933840127097,SERVPULSE LTD,LONDON,E2 9HB,Fast growth & emerging,No Filings,Trading,Active
02878530,growth,growth,94,0.2844069624971924,SWIFT DENTAL LABORATORY LIMITED,BOLTON,BL2 1HQ,Manufacturing,Medium,Trading,Active
03094287,lending,lending,5,0.5248619544660396,T M TRUSTEES LIMITED,SALISBURY,SP1 2BP,Fast growth & emerging,Dormant,Trading,Active
16385546,voluntary_exit,voluntary_exit,47,0.9161933840127097,TADWALA LIMITED,BIRMINGHAM,B33 0YL,Fast growth & emerging,No Filings,Trading,Active
05840856,lending,lending,84,0.37181878989758915,TALKTALK BRANDS LIMITED,SALFORD,M5 3TT,"Technology, legal & professional",Subsidiary,Trading,Active
16385638,voluntary_exit,voluntary_exit,62,0.9161933840127097,TAMAI TECHNOLOGIES LTD,MILTON KEYNES,MK4 4GG,Fast growth & emerging,No Filings,Trading,Active
10198306,insolvency,insolvency,97,0.17145208609710164,VATAX ACCOUNTANCY SERVICES LTD,RUSHDEN,NN10 0QU,"Technology, legal & professional",Micro,Trading,Active
02091108,growth,growth,37,0.3384440684145962,VELOCITI SOLUTIONS LIMITED,BROMSGROVE,B60 4BD,Fast growth & emerging,Medium,Trading,Active
16392789,voluntary_exit,voluntary_exit,22,0.9161933840127097,VERICHAINX TECH LTD,BIRMINGHAM,B29 6AH,Fast growth & emerging,No Filings,Trading,Active
15084559,growth,growth,68,0.3044841433520882,VICTORY CONVERSIONS LIMITED,HULL,HU1 2BN,Manufacturing,Small,Trading,Active
03707664,lending,lending,88,0.3681867461376279,VIRGIN MOBILE TELECOMS LIMITED,READING,RG2 6UU,"Technology, legal & professional",Large,Trading,Active
08587686,lending,lending,54,0.39796344673496054,AFINITI EUROPE TECHNOLOGIES LIMITED,SALFORD,M3 5GS,Fast growth & emerging,Large,Trading,Active
03295323,growth,growth,64,0.3072999504919584,AGENDA RESOURCE MANAGEMENT LIMITED,HULL,HU2 8BA,"Technology, legal & professional",Medium,Trading,Active
12068803,growth,growth,41,0.32951929058083246,AIRBASE UK INTERIORS LTD,CRAWLEY,RH10 9AG,Manufacturing,Subsidiary,Trading,Active
08954533,insolvency,insolvency,79,0.17911953327699742,AJM FINANCIAL SERVICES LONDON LTD,LONDON,W8 5LH,"Technology, legal & professional",Small,Trading,Active
16391017,voluntary_exit,voluntary_exit,80,0.9161933840127097,BUZZFINCHTECH LTD,BASILDON,SS15 5LS,Fast growth & emerging,No Filings,Trading,Active
01413300,growth,growth,47,0.32676856396194215,CAMSTAR HERBS LIMITED,EYE,IP23 7HL,Manufacturing,Medium,Trading,Active
06581977,lending,lending,68,0.3832249511595837,ENHANCED MUSIC LIMITED,LONDON,EC1R 4QX,Manufacturing,Small,Trading,Active
NI654416,insolvency,insolvency,9,0.43139157172194076,ESTHER WOMEN LIMITED,NEWRY,BT34 3DE,Fast growth & emerging,Micro,Trading,Active
16983519,insolvency,insolvency,83,0.17800294935151037,EUROVIEW AG LTD,WITHAM,CM8 3UN,Manufacturing,No Filings,Trading,Active
16389363,voluntary_exit,voluntary_exit,57,0.9161933840127097,HOSTIMATIC LTD,LONDON,EC1V 2NX,Fast growth & emerging,No Filings,Trading,Active
04181698,insolvency,insolvency,40,0.25902242230249767,HOWEFAB LTD,PRESTON,PR3 0RX,Manufacturing,Micro,Trading,Active
08302799,insolvency,insolvency,60,0.20267051068304193,HUMBERSIDE BLOCKS (2012) LIMITED,DEWSBURY,WF12 9HY,Manufacturing,Small,Trading,Active
11596665,insolvency,insolvency,7,0.44236970429914846,HUNT CONTRACTING SERVICES LTD,HEMEL HEMPSTEAD,HP2 5HL,Fast growth & emerging,Micro,Trading,Active
15222781,lending,lending,83,0.37249304579023684,HXCUK SPV1 LTD,CHESTER,CH4 9QH,"Technology, legal & professional",Dormant,Trading,Active
16386776,voluntary_exit,voluntary_exit,56,0.9161933840127097,HYPERRING ALLIANCE LTD,TWICKENHAM,TW1 2HE,Fast growth & emerging,No Filings,Trading,Active
09765349,insolvency,insolvency,76,0.18685856096418024,MAKROSOFT LIMITED,WOKINGHAM,RG41 5HU,Fast growth & emerging,Micro,Trading,Active
15368163,growth,growth,99,0.2809799744535375,MAN PRODUCTIONS LIMITED,LONDON,WC1V 7AA,"Technology, legal & professional",Micro,Trading,Active
10630540,lending,lending,76,0.37691827885575485,MARTIN AND COMPANY AUDIT LIMITED,WINCHESTER,SO23 9HJ,"Technology, legal & professional",Small,Trading,Active
10086511,lending,lending,72,0.3791883053582316,ORIGIN COMMUNICATIONS LIMITED,SALFORD,M5 3TT,"Technology, legal & professional",Subsidiary,Trading,Active
08446340,lending,lending,99,0.3580593573982998,OSTEREO LIMITED,MANCHESTER,M2 3HZ,"Technology, legal & professional",Small,Trading,Active
16390605,voluntary_exit,voluntary_exit,36,0.9161933840127097,PROTECH INSIGHTS LTD,LONDON,EC2N 1HN,Fast growth & emerging,No Filings,Trading,Active
01581476,lending,lending,4,0.525672472227238,PROUDREED LIMITED,KINGSWINFORD,DY6 7NA,"Technology, legal & professional",Large,Trading,Active
12617660,lending,lending,100,0.35563434443214603,PUBX AI LTD,CHIPPING CAMPDEN,GL55 6JT,Fast growth & emerging,Small,Trading,Active
16389516,voluntary_exit,voluntary_exit,61,0.9161933840127097,PUREPLAYERS AGENCY LTD,LONDON,E14 9NN,Fast growth & emerging,No Filings,Trading,Active
14064420,growth,growth,34,0.352887250740077,Q CHISHTI PROPERTIES LIMITED,LUTON,LU1 5FS,Fast growth & emerging,Small,Trading,Active
15993216,growth,growth,61,0.30844817768311794,SAGE MEDIEQUIP LIMITED,SOUTHALL,UB1 1SQ,Manufacturing,Micro,Trading,Active
10170660,insolvency,insolvency,93,0.17494660299174056,SAHASRA FUSION TECHNOLOGIES LIMITED,SWINDON,SN5 4FY,Fast growth & emerging,Micro,Trading,Active
16389746,voluntary_exit,voluntary_exit,25,0.9161933840127097,SAHITHI LIMITED,LUTON,LU2 7AJ,Fast growth & emerging,No Filings,Trading,Active
09037573,insolvency,insolvency,50,0.21606964502147707,SAI TECH PVT. LTD,SLOUGH,SL2 1HQ,Fast growth & emerging,Small,Trading,Active
16391425,voluntary_exit,voluntary_exit,21,0.9161933840127097,SAIRUS LTD,LONDON,W6 9SJ,Fast growth & emerging,No Filings,Trading,Active
